bucket,pkts,bytes
20852,54966,81142812
20878,1,1298
20886,44,11085
20925,3,2714
20928,22,9153
20943,1,1298
20987,3,3894
21001,3,3894
21013,17,16661
21027,3,3894
21029,1,1298
21053,1,1298
21054,2829,4071066
21058,1,1298
21070,1,1298
21090,892,1250949
21093,2067,2994355
21134,3,3894
21148,3,2714
21150,3,2714
21163,3,2714
21180,25721,37960714
21182,1,1298
21199,3,3894
21256,101,18227
21262,1,1298
21266,1,1298
21348,3,3894
21359,47039,69412016
21367,3,2714
21389,8,8450
21420,3,3894
21431,2347,3413875
21469,38023,56103834
21480,20,4043
21483,1,1298
21484,2181,3155904
21490,7123,10284763
21497,1,1298
21501,9070,12839778
21513,1378,1952949
21539,3,3894
21565,3,3894
21568,78,14393
21597,1,1298
21613,1,1298
21636,85,15776
21661,1,1298
21667,886,1232887
21678,1,1298
21683,1,1298
21684,3,3894
21695,319,37501
21709,3,2714
21716,170,24818
21732,34407,50755762
21793,417,48967
21806,3,3894
21833,16976,25030944
21876,11626,17016306
21893,32244,47358671
21923,4809,6997059
21972,1,1298
21986,7269,10628394
21987,28,7074
22014,1663,2354514
22024,1,1298
22050,48344,71370183
22112,1,1298
22137,3,2714
22147,55,11894
22148,3,3894
22155,1,1298
22164,1,1298
22242,12295,18069673
22247,3,2714
22271,26791,39531548
22294,573,65329
22300,53,11042
22303,965,1368124
22308,57,11098
22309,47,11328
22317,18,16828
22331,18,16776
22333,52,11997
22336,427,50355
22341,20071,29618544
22373,32452,47877652
22377,1,1298
22381,181,24976
22401,3,2714
22408,423,47739
22423,5,6490
22446,2714,3968424
22447,1,1298
22450,1752,2535500
22459,36599,54018379
22468,3,3894
22479,558,63077
22528,62,9687
22612,1,1298
22621,3,3894
22651,3,2714
22656,1,1298
22681,54,12019
22682,15066,22142077
22686,3,3894
22689,2669,3646947
22720,1314,1859614
22722,55,12243
22723,3,3894
22782,2598,3757962
22805,1,1298
22867,3,3894
22874,1,1298
22889,1616,2305686
22890,6,7788
22917,10,2523
22927,1,1298
22938,878,1224474
22957,3,3894
22960,3,3894
23015,3,2714
23103,1,1298
23120,657,72701
23122,3,2714
23129,3,3894
23143,689,77549
23196,3,3894
23234,1,1298
23254,26311,38773637
23258,1,1298
23304,10,2523
23310,18,16832
23324,1,1298
23350,475,53014
23357,18,16780
23371,74,14017
23380,1,1298
23381,3,2714
23404,532,59226
23412,6170,8956839
23436,704,79584
23477,1,1298
23484,3,2714
23493,3,2714
23500,3,2714
23504,2053,2946970
23513,6253,9172481
23519,237,29766
23526,3521,5117405
23537,1,1298
23573,3,3894
23576,1,1298
23589,3,2714
23600,24,16610
23609,47,8529
23648,3,2714
23664,1,1298
23720,3,3894
23765,14,3132
23769,3,3894
23794,3,3894
23820,1,1298
23863,25,19051
23883,34,10227
23885,69392,102404541
23890,1,1298
23926,5,6490
23965,1,1298
23966,1,1298
23972,559,62741
23979,230,30902
23991,56,12236
24007,1,1298
24067,18,16808
24084,55,12240
24103,203,26781
24115,493,58936
24117,32172,47441697
24119,1,1298
24167,8742,12830237
24189,8797,12902191
24253,1,1298
24258,38447,56752067
24264,17045,25087382
24277,70,14360
24324,1,1298
24378,5,6490
24385,1407,2011945
24425,526,60082
24449,71,14260
24462,399,46572
24492,40712,60080175
24494,3,2714
24499,10,2523
24503,1,1298
24504,1,1298
24506,397,46508
24513,7819,11077144
24522,41,10601
24534,3,3894
24563,18,16764
24572,40156,59309622
24599,1,1298
24670,2920,4180589
24690,1,1298
24702,3,3894
24726,1,1298
24729,1064,1506874
24746,1254,132150
24758,3,3894
24783,10,2524
24809,43,11040
24872,3,3894
24874,1,1298
24889,1,1298
24928,3,3894
24952,1,1298
24957,1,1298
24970,1,1298
24982,1,1298
24988,1,1298
25003,6580,9620735
25008,18059,26199860
25020,3,3894
25059,71351,105378430
25060,3,3894
25074,841,1185681
25095,1,1298
25134,162,22715
25155,86,16117
25172,6201,9062133
25177,1,1298
25179,509,58529
25189,356,41909
25204,3,3894
25224,46,11467
25247,73,14999
25251,4317,6197931
25254,12,2828
25256,1,1298
25257,87,16730
25268,1134,1621078
25287,2910,4181603
25315,1,1298
25373,1,1298
25376,3,3894
25379,3,3894
25400,515,58134
25448,27436,40409247
25467,2947,4316367
25497,58,12959
25513,264,31323
25543,1,1298
25553,3,3894
25572,34,10111
25575,20043,29496342
25586,2525,3626651
25590,1,1298
25607,3,3894
25620,268,31765
25697,5431,7893914
25718,1,1298
25741,3,3894
25744,1,1298
25774,59938,88460711
25776,1,1298
25785,14,3132
25791,25,19114
25824,845,91916
25864,3956,5799087
25870,1,1298
25970,3817,5570226
25984,1,1298
26002,3,3894
26023,1,1298
26056,1,1298
26066,1,1298
26085,3,2714
26088,3,2714
26090,25,18997
26119,1109,1595220
26137,3,3894
26142,62,13042
26150,39931,58961605
26184,1,1298
26185,1,1298
26189,56868,83966874
26236,52,11840
26259,2170,3109724
26263,1,1298
26272,146,20246
26289,3,3894
26308,3,2714
26347,8524,12498983
26352,3,3894
26360,21614,31873697
26385,331,39574
26421,14598,21466469
26425,103,17045
26438,324,38328
26464,68,13326
26474,39,10800
26489,3,2714
26497,3,2714
26498,5,6490
26528,37913,55948468
26578,173,19364
26598,1,1298
26612,3,2714
26618,22,4347
26646,3,2714
26654,696,77196
26704,1570,2235891
26712,2014,2878469
26714,3,2714
26715,1,1298
26716,19,6123
26721,5049,7336876
26726,324,38634
26730,54,10809
26763,3,2714
26766,5,5310
26775,1,1298
26799,3,3894
26800,3,3894
26843,18,16796
26867,9712,14250638
26882,3,2714
26911,170,24692
26975,74,17131
26978,241,31051
26997,9715,14274963
27037,6366,9348396
27045,1,1298
27071,3015,4369291
27082,355,41692
27090,11014,16143423
27095,2053,2903573
27099,75,14364
27102,1,1298
27160,3,3894
27161,1214,1734151
27170,3,3894
27180,766,84955
27190,1,1298
27200,3284,4686132
27235,30091,44291766
27236,72,14288
27245,1,1298
27246,1,1298
27253,3,3894
27270,1,1298
27287,12,2828
27297,23282,33825088
27301,3,2714
27307,12,2828
27342,50,12063
27343,3,3894
27395,48,11428
27412,1,1298
27417,37,10776
27462,5,6490
27517,3,3894
27520,6956,10105941
27544,1,1298
27554,3,3894
27564,16,14252
27581,1,1298
27611,1,1298
27644,3,3894
27650,1,1298
27676,95,15971
27684,3,3894
27693,12,2827
27694,3,3894
27696,1,1298
27697,13036,19171611
27699,65887,97257957
27708,44,11114
27716,8,8438
27730,1,1298
27770,634,70403
27795,74,14339
27850,3,3894
27851,1,1298
27863,1,1298
27866,3,3894
27871,3,3894
27872,3,2714
27873,3,3894
27883,1,1298
27893,900,96981
27911,8,8450
27912,6434,9294360
27951,1,1298
27959,449,50714
27974,385,44408
28017,66,12961
28035,1,1298
28040,2594,3708187
28053,3,3894
28079,1,1298
